Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,453.700012,455.899994,447.600006,450.100006,421.352814,2333219
2015-02-24,450.799988,465.583008,448.399994,449.899994,421.165619,2303244
2015-02-25,449.399994,451.000000,448.100006,450.299988,421.540070,3749506
2015-02-26,448.899994,448.899994,416.600006,429.100006,401.694061,13653704
2015-02-27,429.500000,432.000000,426.200012,428.899994,401.506836,6235274
2015-03-02,431.000000,436.600006,428.899994,434.299988,406.561981,4361430
2015-03-03,429.000000,431.660004,419.700012,420.200012,393.362488,4602545
2015-03-04,419.600006,426.600006,415.899994,426.600006,399.353729,4777778
2015-03-05,423.100006,425.500000,417.500000,423.399994,398.225067,3453824
2015-03-06,423.299988,423.299988,416.500000,418.000000,393.146149,3586528
2015-03-09,407.000000,414.799988,406.700012,412.399994,387.879089,4684753
2015-03-10,410.899994,411.200012,400.299988,409.200012,384.869415,7993787
2015-03-11,410.100006,416.600006,408.200012,416.100006,391.359161,4822741
2015-03-12,417.000000,421.100006,416.044006,419.200012,394.274841,4469273
2015-03-13,419.799988,422.399994,418.100006,420.500000,395.497528,3758583
2015-03-16,420.200012,421.700012,418.839996,419.500000,394.556946,3231051
2015-03-17,420.000000,423.399994,418.899994,423.000000,397.848877,6150466
2015-03-18,421.899994,430.399994,420.000000,429.399994,403.868286,4764536
2015-03-19,430.899994,433.899994,430.399994,433.399994,407.630463,4010311
2015-03-20,435.000000,437.100006,431.899994,436.000000,410.075897,6706514
2015-03-23,434.600006,439.000000,432.500000,437.799988,411.768890,2484954
2015-03-24,437.500000,440.100006,436.595001,439.100006,412.991547,1641501
2015-03-25,438.000000,439.700012,435.850006,437.200012,411.204590,2636891
2015-03-26,433.399994,435.200012,422.899994,424.399994,399.165649,3732066
2015-03-27,424.200012,425.899994,421.899994,423.200012,398.036987,3890220
2015-03-30,428.000000,431.299988,423.299988,430.500000,404.902924,2863445
2015-03-31,429.299988,429.899994,420.807007,420.899994,395.873718,4245600
2015-04-01,420.700012,427.505005,420.244995,426.600006,401.234802,2750221
2015-04-02,425.799988,428.399994,422.269989,428.200012,402.739685,3219288
2015-04-07,428.200012,432.200012,427.700012,431.600006,405.937531,2913553
2015-04-08,429.299988,435.700012,429.299988,432.500000,406.783997,4183732
2015-04-09,434.399994,436.100006,432.200012,432.899994,407.160217,2127254
2015-04-10,432.899994,436.600006,431.799988,435.600006,409.699646,2260049
2015-04-13,436.700012,438.700012,433.500000,435.000000,409.135376,1377526
2015-04-14,433.500000,437.519989,431.700012,434.399994,408.571014,1288171
2015-04-15,433.000000,436.000000,431.399994,434.399994,408.571014,1897837
2015-04-16,436.700012,437.209991,431.799988,434.100006,408.288879,2792342
2015-04-17,433.500000,436.100006,424.399994,425.600006,400.294312,2310739
2015-04-20,427.700012,429.399994,420.700012,422.200012,397.096436,2020819
2015-04-21,424.000000,426.000000,415.799988,422.399994,397.284546,2224351
2015-04-22,422.600006,423.700012,416.899994,420.700012,395.685608,2341969
2015-04-23,421.700012,427.000000,420.700012,424.899994,399.635864,2891129
2015-04-24,423.899994,429.799988,420.700012,422.299988,397.190491,1891413
2015-04-27,422.100006,427.299988,413.500000,426.100006,400.764526,4590734
2015-04-28,425.100006,425.600006,419.899994,423.799988,398.601288,2930515
2015-04-29,426.000000,426.709991,422.000000,422.899994,397.754822,2348558
2015-04-30,422.899994,427.700012,420.000000,427.600006,402.175354,3898648
2015-05-01,426.000000,427.399994,418.835999,425.100006,399.823975,1099504
2015-05-05,425.100006,425.100006,410.295013,415.000000,390.324524,5181541
2015-05-06,414.100006,418.200012,413.459991,418.000000,393.146149,3153228
2015-05-07,424.600006,431.799988,422.399994,427.299988,401.893158,4588953
2015-05-08,434.000000,436.200012,430.500000,433.700012,407.912689,3629088
2015-05-11,434.399994,436.600006,431.279999,432.500000,406.783997,3158110
2015-05-12,430.899994,432.299988,423.399994,426.000000,400.670502,3047965
2015-05-13,427.600006,427.600006,423.959991,426.500000,401.140778,1772195
2015-05-14,426.899994,429.200012,424.600006,428.899994,403.398041,1949389
2015-05-15,430.899994,435.619995,430.200012,433.899994,408.100800,2022253
2015-05-18,435.799988,438.200012,433.200012,435.299988,409.417511,1758371
2015-05-19,436.700012,443.600006,436.200012,441.700012,415.436981,3055479
2015-05-20,441.000000,445.993988,438.500000,438.700012,412.615356,1773840
2015-05-21,438.000000,439.700012,436.549988,438.799988,412.709381,1352057
2015-05-22,438.799988,439.899994,435.200012,435.799988,409.887756,1808806
2015-05-26,435.799988,436.000000,426.899994,427.299988,401.893158,2252373
2015-05-27,427.600006,439.200012,426.100006,436.200012,410.264008,2598473
2015-05-28,436.000000,437.100006,427.500000,431.899994,406.219666,2341833
2015-05-29,432.600006,438.700012,429.100006,431.299988,405.655334,2963547
2015-06-01,433.399994,433.399994,423.299988,427.000000,401.611023,2499995
2015-06-02,429.200012,429.200012,421.899994,426.200012,400.858582,1553958
2015-06-03,426.200012,430.399994,424.899994,429.399994,403.868286,2100840
2015-06-04,430.299988,433.000000,425.799988,431.600006,405.937531,2677269
2015-06-05,430.000000,435.399994,426.700012,435.000000,409.135376,2794349
2015-06-08,433.700012,438.600006,433.000000,433.200012,407.442383,2259602
2015-06-09,434.299988,435.500000,426.200012,426.799988,401.422913,3098073
2015-06-10,426.899994,433.000000,424.500000,433.000000,407.254272,3055144
2015-06-11,430.799988,434.600006,430.799988,433.000000,407.254272,2624119
2015-06-12,431.700012,434.299988,425.299988,426.700012,401.328857,1896370
2015-06-15,423.100006,424.820007,419.500000,422.000000,396.908325,2599662
2015-06-16,421.100006,422.600006,417.899994,421.500000,396.438049,2340185
2015-06-17,421.799988,423.100006,416.260010,417.000000,392.205597,1754332
2015-06-18,415.200012,418.000000,410.500000,412.700012,388.161285,3269987
2015-06-19,412.799988,417.600006,411.799988,416.100006,391.359161,3625687
2015-06-22,421.399994,422.799988,417.380005,422.500000,397.378571,2443275
2015-06-23,424.299988,425.359985,419.899994,419.899994,394.933197,1877532
2015-06-24,418.600006,421.700012,416.799988,416.799988,392.017487,1930750
2015-06-25,416.399994,417.700012,411.700012,412.000000,387.502930,2518180
2015-06-26,410.399994,412.000000,407.096008,407.500000,383.270508,3300203
2015-06-29,400.000000,404.359985,397.299988,400.500000,376.686676,5219629
2015-06-30,398.399994,400.959991,396.899994,397.200012,373.582916,3700632
2015-07-01,401.000000,403.200012,397.899994,402.799988,378.849915,4170354
2015-07-02,402.200012,411.100006,401.399994,411.000000,386.562378,4121011
2015-07-03,414.700012,415.600006,406.500000,408.799988,384.493164,3565119
2015-07-06,405.799988,407.399994,402.700012,403.500000,379.508301,2189987
2015-07-07,404.700012,406.700012,391.700012,391.700012,368.409943,3246614
2015-07-08,392.899994,395.700012,391.799988,393.399994,370.008820,3252985
2015-07-09,393.799988,400.000000,393.000000,399.200012,375.464020,2251889
2015-07-10,403.899994,409.899994,402.700012,408.299988,384.022888,3161267
2015-07-13,411.299988,415.600006,409.500000,415.600006,390.888855,1799579
2015-07-14,414.700012,417.839996,414.299988,417.799988,392.958038,3409609
2015-07-15,419.100006,425.600006,418.100006,425.299988,400.012115,3327806
