,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CPG.L Weight
298,0.000481717,0.016508937,0.029179177,-0.007772751,0.068782978,2.14E-05,0.931195626
459,0.001069455,0.014585316,0.073324101,-0.006223203,0.025881358,0.028784935,0.945333707
458,0.001110886,0.010868251,0.102213884,-0.00432324,0.012014698,0.008252649,0.979732653
422,0.00021991,0.014919268,0.014740032,-0.007239724,0.872114309,0.008144149,0.119741542
551,0.000302426,0.011420611,0.026480685,-0.00540788,0.231259853,0.001523592,0.767216556
683,0.000902277,0.018651208,0.04837632,-0.008423327,0.027199869,0.014379401,0.958420729
511,0.000976283,0.018292718,0.053370037,-0.008170076,0.070362389,0.013821463,0.915816148
619,0.000243982,0.015744523,0.015496287,-0.00762828,0.963992694,0.01925133,0.016755976
802,0.000482606,0.018734734,0.025759975,-0.008884761,0.392308155,0.003130525,0.60456132
711,0.000242738,0.013568863,0.017889311,-0.006541694,0.676500751,0.000483493,0.323015756
910,0.000180899,0.014977174,0.012078313,-0.007307688,0.902621038,0.061086542,0.03629242
394,0.000246627,0.015712831,0.015695894,-0.007609788,0.959178725,0.007789669,0.033031606
139,0.000294136,0.015674906,0.018764779,-0.007543317,0.529235649,0.000569175,0.470195176
478,0.000275736,0.01344266,0.020512,-0.006445594,0.572178607,5.23E-05,0.427769071
14,0.000226975,0.013429767,0.01690087,-0.006487909,0.733316803,0.005329049,0.261354148
600,0.000420116,0.016776616,0.025041784,-0.007968192,0.079207976,0.008158606,0.912633419
6,0.000252476,0.015782388,0.015997352,-0.007638718,0.961554216,0.016384236,0.022061548
296,0.000243741,0.015437247,0.015789147,-0.007474882,0.83863652,0.004355854,0.157007626
476,0.000257562,0.01575664,0.016346223,-0.007620758,0.957549585,0.003639728,0.038810688
789,0.000733202,0.014469316,0.050672862,-0.006501456,0.028421324,0.027852468,0.943726207
439,0.000415908,0.012284336,0.033856759,-0.00572626,0.050821126,0.000119926,0.949058948
409,0.000507684,0.015311125,0.033157847,-0.007147878,0.083405226,0.005397654,0.91119712
604,0.000468681,0.014170132,0.033075253,-0.006616385,0.103381579,0.017255037,0.879363384
320,0.000245172,0.015664568,0.015651357,-0.007587112,0.953236566,0.009364858,0.037398576
81,0.000228236,0.015668201,0.014566805,-0.007605865,0.95261344,0.01846869,0.02891787
46,0.000451554,0.015563207,0.029014193,-0.00733005,0.18975972,0.002955668,0.807284612
648,0.001122798,0.01498581,0.074924103,-0.006370107,0.019516121,0.005435418,0.975048461
342,0.001044116,0.010658049,0.097965006,-0.004284909,0.061852098,0.024621429,0.913526473
118,0.000260005,0.015950387,0.016300852,-0.007715188,0.983139502,0.014019682,0.002840817
658,0.000295285,0.011315633,0.026095309,-0.005362532,0.282287884,0.008468626,0.70924349
921,0.00086782,0.018291256,0.047444552,-0.008277807,0.034993067,0.038340988,0.926665946
612,0.000937345,0.017507672,0.053539112,-0.007816491,0.139338474,0.006932296,0.85372923
382,0.000228551,0.015283188,0.014954381,-0.007413044,0.890416849,3.36E-05,0.109549506
