,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CPG.L Weight
156,0.002274196918263104,0.017605191163600757,0.1291776327294345,-0.006528398663537275,3.1737158639201707e-06,0.7945056719057669,0.20549115437836912
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,BT Weight
669,0.0025892362529766543,0.020327204646627472,0.12737788092305352,-0.0075743660703370816,0.01727084642079465,0.9481622819206319,0.03456687165857345
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,SHP.L Weight
790,0.0024936065510602896,0.01955382673139017,0.12752524532997167,-0.007283306814634795,0.09221452375164457,0.897586699238896,0.010198777009459392
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,PRU.L Weight
378,0.0027042988099189517,0.020929169535400468,0.12921195011320388,-0.007760285957781282,0.017979198052722144,0.9792747372855999,0.0027460646616779528
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,SKY.L Weight
958,0.00273274289469823,0.02112098039468848,0.12938522945580036,-0.00782774730264601,0.006242625017556472,0.9907672229068126,0.0029901520756308573
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,BNZL.L Weight
530,0.0024919875313994776,0.019489416050498854,0.12786363249378588,-0.0072527204938499495,0.055557351159506656,0.8968354350932383,0.04760721374725503
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,STJ.L Weight
767,0.0026667091407456115,0.020650558565556334,0.12913496418414042,-0.007658570142032556,0.0066873932849504875,0.962064633605364,0.031247973109685558
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,TSCO.L Weight
44,0.002628578845783891,0.020439533539405804,0.1286026826745434,-0.007591187923919011,0.02744439153809817,0.9514550793605338,0.0211005291013681
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,EZJ.L Weight
620,0.002699418297596454,0.020889926024179068,0.12922105585591875,-0.00774554471449308,0.011154850172372137,0.978043096732704,0.010802053094923856
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,GFS.L Weight
142,0.0026890771125192294,0.020855515415143317,0.1289384155218084,-0.007738680595052429,0.004035664992200971,0.9755754608034881,0.02038887420431094
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CCL.L Weight
23,0.0020706166358585984,0.01554370249223784,0.1332125751179692,-0.005701234610260322,0.002466820546635541,0.6534057007002826,0.3441274787530818
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,EXPN.L Weight
210,0.002559909638934492,0.01985205492964646,0.12894935300181948,-0.007366117825888739,0.034982595250530754,0.9183440527735528,0.0466733519759164
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,RSA.L Weight
503,0.002617936013732923,0.02017271105069674,0.12977611225153116,-0.0074684195116154475,0.004138177470656696,0.9384729715732721,0.05738885095607119
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,SMIN.L Weight
317,0.0026662552904804415,0.020569669924160667,0.12962071342470685,-0.007618579671599892,0.00220295451552971,0.9604196947979852,0.03737735068648508
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,SSE.L Weight
221,0.002591339261017357,0.02019444223406869,0.12831942724546666,-0.007505881856016989,0.039152613030720894,0.9385054046118408,0.02234198235743821
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CNA.L Weight
760,0.002631804384668465,0.020442375846058698,0.12874258865443364,-0.0075893835383608835,0.048328331295386065,0.95058962715866,0.0010820415459538973
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,TUI.L Weight
592,0.002632706991255851,0.020313277032600968,0.12960523243150748,-0.007523931525044633,0.0041542734837460875,0.9459772072613213,0.04986851925493258
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CCH.L Weight
852,0.0021554973040162394,0.015549582081866641,0.13862091551192893,-0.005619293736917081,0.0067267038046556265,0.6301868519635752,0.36308644423176933
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,RTO.L Weight
690,0.0017969810149365373,0.012251799110127427,0.146670786778665,-0.004328918540127177,0.001430706059970263,0.40834682534459465,0.590222468595435
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,VOD.L Weight
17,0.0025981894098347654,0.02027932937023713,0.12812008535390657,-0.0075414752752838,0.007280629915528283,0.9436618696833903,0.049057500401081415
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,BATS.L Weight
940,0.002545207547674211,0.019718472604983966,0.12907731743030107,-0.007314028754817773,0.010559451376513514,0.9139966581108995,0.07544389051258692
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,AHT.L Weight
292,0.0023629451738381066,0.017824557054719293,0.1325668383558785,-0.006549333353521539,0.0037664487199404774,0.7844009948358871,0.21183255644417245
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,PPB.L Weight
16,0.0022851020454995974,0.017132957631437195,0.1333746393738039,-0.006281376770219,0.021423936712047183,0.7328220706226605,0.2457539926652925
,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,BRBY.L Weight
